Player_Name,Hero_Pick,Player_Role,mu_KDA,mu_Gold,mu_Level,mu_Partisipation,mu_Damage_Dealt,mu_Damage_Taken,mu_Damage_Turret
Dreams,Edith,Roamer,"[0.8, 0.2, 0]","[0.55, 0.45, 0]","[0.74, 0.26, 0]","[0, 0.73, 0.27]","[0.25, 0.75, 0]","[0.59, 0.41, 0]","[1.0, 0, 0]"
Kiboy,Ruby,Roamer,"[0, 0.57, 0.43]","[0.36, 0.64, 0]","[0.23, 0.77, 0]","[0, 0.51, 0.49]","[0.26, 0.74, 0]","[0.67, 0.33, 0]","[0, 0.94, 0.06]"
Dreams,Edith,Roamer,"[1.0, 0, 0]","[0.6, 0.4, 0]","[0.48, 0.52, 0]","[0.89, 0.11, 0]","[0.35, 0.65, 0]","[0.97, 0.03, 0]","[1.0, 0, 0]"
Kiboy,Edith,Roamer,"[0, 0.96, 0.04]","[0.59, 0.41, 0]","[0.74, 0.26, 0]","[0.04, 0.96, 0]","[0.43, 0.57, 0]","[0.84, 0.16, 0]","[0.08, 0.92, 0]"
Dreams,Ruby,Roamer,"[0.8, 0.2, 0]","[0.04, 0.96, 0]","[0, 0, 1.0]","[0.04, 0.96, 0]","[0, 0.95, 0.05]","[0.19, 0.81, 0]","[1.0, 0, 0]"
Baloyskie,Edith,Roamer,"[0, 0.62, 0.38]","[0, 0.59, 0.41]","[0, 0, 1.0]","[0, 0.69, 0.31]","[0, 0.55, 0.45]","[0, 0.86, 0.14]","[0, 0.09, 0.91]"
Dreams,Chip,Roamer,"[0, 0.29, 0.71]","[0.2, 0.8, 0]","[0, 0.89, 0.11]","[0.53, 0.47, 0]","[0, 0.86, 0.14]","[0.86, 0.14, 0]","[0.51, 0.49, 0]"
Baloyskie,Minotaur,Roamer,"[0.92, 0.08, 0]","[0.44, 0.56, 0]","[0.48, 0.52, 0]","[0, 0, 1.0]","[1.0, 0, 0]","[0.51, 0.49, 0]","[1.0, 0, 0]"
Baloyskie,Ruby,Roamer,"[0, 0.82, 0.18]","[0, 0.95, 0.05]","[0, 0, 1.0]","[0, 0.69, 0.31]","[0.32, 0.68, 0]","[0.47, 0.53, 0]","[0.72, 0.28, 0]"
Dreams,Minotaur,Roamer,"[0, 0.86, 0.14]","[0, 0.74, 0.26]","[0, 0, 1.0]","[0.15, 0.85, 0]","[0.15, 0.85, 0]","[0, 0.67, 0.33]","[1.0, 0, 0]"
Baloyskie,Ruby,Roamer,"[0.8, 0.2, 0]","[0.1, 0.9, 0]","[0, 0, 1.0]","[1.0, 0, 0]","[0.49, 0.51, 0]","[0, 0.98, 0.02]","[0, 0.94, 0.06]"
Dreams,Chip,Roamer,"[0.41, 0.59, 0]","[0, 0, 1.0]","[0, 0, 1.0]","[0.15, 0.85, 0]","[0, 0, 1.0]","[0, 0, 1.0]","[0.74, 0.26, 0]"
Kiboy,Ruby,Roamer,"[0.96, 0.04, 0]","[0.4, 0.6, 0]","[0.23, 0.77, 0]","[0, 0.8, 0.2]","[0.27, 0.73, 0]","[0.27, 0.73, 0]","[1.0, 0, 0]"
Dreams,Minotaur,Roamer,"[0, 0.86, 0.14]","[0.19, 0.81, 0]","[0, 0.89, 0.11]","[0, 0.8, 0.2]","[0.94, 0.06, 0]","[0.51, 0.49, 0]","[0.75, 0.25, 0]"
Kiboy,Edith,Roamer,"[0, 0.43, 0.57]","[0, 0.77, 0.23]","[0, 0, 1.0]","[0, 0.8, 0.2]","[0, 0.48, 0.52]","[0, 0.82, 0.18]","[0, 0.57, 0.43]"
Dreams,Ruby,Roamer,"[0.49, 0.51, 0]","[0, 0.89, 0.11]","[0, 0, 1.0]","[0, 0.8, 0.2]","[0.71, 0.29, 0]","[0.13, 0.87, 0]","[1.0, 0, 0]"
Dreams,Minotaur,Roamer,"[0.49, 0.51, 0]","[0, 0.77, 0.23]","[0, 0, 1.0]","[0.23, 0.77, 0]","[0.4, 0.6, 0]","[0, 0.23, 0.77]","[1.0, 0, 0]"
Kiboy,Ruby,Roamer,"[0.68, 0.32, 0]","[0.4, 0.6, 0]","[0.23, 0.77, 0]","[0, 0.73, 0.27]","[0.27, 0.73, 0]","[0.27, 0.73, 0]","[1.0, 0, 0]"
Dreams,Franco,Roamer,"[0, 0.72, 0.28]","[0.1, 0.9, 0]","[0, 0, 1.0]","[0.37, 0.63, 0]","[0.8, 0.2, 0]","[0.84, 0.16, 0]","[0.73, 0.27, 0]"
Dreams,Franco,Roamer,"[0, 0, 1.0]","[0, 0.55, 0.45]","[0, 0, 1.0]","[0, 0.33, 0.67]","[0.52, 0.48, 0]","[0.38, 0.62, 0]","[0.73, 0.27, 0]"
Luke,Yu Zhong,Explane,"[0.73, 0.27, 0]","[0.3, 0.7, 0]","[0, 0, 1.0]","[0.38, 0.62, 0]","[0, 0.96, 0.04]","[0, 0.93, 0.07]","[1.0, 0, 0]"
Donn,Yu Zhong,Explane,"[0.4, 0.6, 0]","[0, 0.9, 0.1]","[0, 0, 1.0]","[0, 0.56, 0.44]","[0.56, 0.44, 0]","[0.19, 0.81, 0]","[0, 0.99, 0.01]"
Fluffy,Yu Zhong,Explane,"[0, 0.9, 0.1]","[0, 0, 1.0]","[0, 0, 1.0]","[0.07, 0.93, 0]","[0.23, 0.77, 0]","[0, 0.51, 0.49]","[0, 0.87, 0.13]"
Aran,Cici,Explane,"[0, 0.83, 0.17]","[0.35, 0.65, 0]","[0.15, 0.85, 0]","[0.01, 0.99, 0]","[0, 0.86, 0.14]","[0.39, 0.61, 0]","[0.94, 0.06, 0]"
Fluffy,Terizla,Explane,"[0, 0.9, 0.1]","[0.2, 0.8, 0]","[0, 0, 1.0]","[0.07, 0.93, 0]","[0.26, 0.74, 0]","[0, 0.87, 0.13]","[0.2, 0.8, 0]"
Aran,Cici,Explane,"[0.84, 0.16, 0]","[1.0, 0, 0]","[1.0, 0, 0]","[0.22, 0.78, 0]","[1.0, 0, 0]","[0.85, 0.15, 0]","[1.0, 0, 0]"
Fluffy,Yu Zhong,Explane,"[0.33, 0.67, 0]","[0.69, 0.31, 0]","[0.57, 0.43, 0]","[0.49, 0.51, 0]","[0.62, 0.38, 0]","[1.0, 0, 0]","[0, 0.77, 0.23]"
Lutpiii,Cici,Explane,"[0.38, 0.62, 0]","[0, 0.9, 0.1]","[0, 0, 1.0]","[0.15, 0.85, 0]","[0.32, 0.68, 0]","[0.36, 0.64, 0]","[0.05, 0.95, 0]"
Luke,Xborg,Explane,"[0, 0.93, 0.07]","[0, 0.94, 0.06]","[0, 0, 1.0]","[0.1, 0.9, 0]","[0, 0.77, 0.23]","[0.22, 0.78, 0]","[1.0, 0, 0]"
Luke,Masha,Explane,"[0.82, 0.18, 0]","[0, 0.78, 0.22]","[0, 0, 1.0]","[0.49, 0.51, 0]","[0, 0.68, 0.32]","[0.32, 0.68, 0]","[0, 0.38, 0.62]"
Lutpiii,Cici,Explane,"[0.78, 0.22, 0]","[0.42, 0.58, 0]","[0.15, 0.85, 0]","[0, 0.7, 0.3]","[0, 0.91, 0.09]","[0, 0.84, 0.16]","[0, 0.88, 0.12]"
Luke,Xborg,Explane,"[0.71, 0.29, 0]","[0, 0.92, 0.08]","[0, 0, 1.0]","[0, 0.76, 0.24]","[0, 0.46, 0.54]","[0, 0.87, 0.13]","[1.0, 0, 0]"
Lutpiii,Xborg,Explane,"[0, 0.83, 0.17]","[0.25, 0.75, 0]","[0, 0, 1.0]","[0, 0.34, 0.66]","[0, 0.8, 0.2]","[0, 0.94, 0.06]","[0.23, 0.77, 0]"
Xorizo,Cici,Explane,"[0.73, 0.27, 0]","[0.78, 0.22, 0]","[0.57, 0.43, 0]","[0, 0, 1.0]","[0.08, 0.92, 0]","[0.45, 0.55, 0]","[0, 0.94, 0.06]"
Fluffy,Yu Zhong,Explane,"[0, 0.48, 0.52]","[0.23, 0.77, 0]","[0, 0, 1.0]","[0, 0.81, 0.19]","[0.25, 0.75, 0]","[0.11, 0.89, 0]","[0.72, 0.28, 0]"
Fluffy,Terizla,Explane,"[0, 0.86, 0.14]","[0.08, 0.92, 0]","[0, 0, 1.0]","[0, 0.67, 0.33]","[0.25, 0.75, 0]","[0.13, 0.87, 0]","[0.47, 0.53, 0]"
Xorizo,Cici,Explane,"[0, 0, 1.0]","[0, 0.89, 0.11]","[0, 0, 1.0]","[0, 0.14, 0.86]","[0, 0.43, 0.57]","[0, 0.83, 0.17]","[0, 0, 1.0]"
Xorizo,Terizla,Explane,"[0.71, 0.29, 0]","[0.83, 0.17, 0]","[1.0, 0, 0]","[0, 0.93, 0.07]","[0.83, 0.17, 0]","[0.62, 0.38, 0]","[0.22, 0.78, 0]"
Fluffy,Yu Zhong,Explane,"[0, 0.76, 0.24]","[0.47, 0.53, 0]","[0.57, 0.43, 0]","[0, 0.56, 0.44]","[0.79, 0.21, 0]","[0.68, 0.32, 0]","[0.75, 0.25, 0]"
Xorizo,Cici,Explane,"[0.4, 0.6, 0]","[0.18, 0.82, 0]","[0, 0, 1.0]","[0, 0.31, 0.69]","[0.1, 0.9, 0]","[0.05, 0.95, 0]","[0, 0.75, 0.25]"
Luke,Masha,Explane,"[0, 0.86, 0.14]","[0.0, 1.0, 0]","[0, 0, 1.0]","[0.04, 0.96, 0]","[0, 0.86, 0.14]","[0.6, 0.4, 0]","[0.07, 0.93, 0]"
Luke,Masha,Explane,"[0.55, 0.45, 0]","[0.01, 0.99, 0]","[0, 0, 1.0]","[0.32, 0.68, 0]","[0.12, 0.88, 0]","[0.18, 0.82, 0]","[0.97, 0.03, 0]"
Fluffy,Terizla,Explane,"[0.71, 0.29, 0]","[0.88, 0.12, 0]","[1.0, 0, 0]","[0, 0.56, 0.44]","[0.56, 0.44, 0]","[0.34, 0.66, 0]","[1.0, 0, 0]"
Lutpiii,Cici,Explane,"[0, 0.62, 0.38]","[0.62, 0.38, 0]","[0.57, 0.43, 0]","[0, 0.81, 0.19]","[0.1, 0.9, 0]","[0.51, 0.49, 0]","[0, 0.51, 0.49]"
Luke,Masha,Explane,"[0.11, 0.89, 0]","[0, 0.73, 0.27]","[0, 0, 1.0]","[0.41, 0.59, 0]","[0, 0.99, 0.01]","[0.67, 0.33, 0]","[0, 0.95, 0.05]"
Fluffy,Xborg,Explane,"[0, 0.48, 0.52]","[0.01, 0.99, 0]","[0, 0, 1.0]","[0, 0.56, 0.44]","[0.4, 0.6, 0]","[0.24, 0.76, 0]","[0, 0.93, 0.07]"
Luke,Yu Zhong,Explane,"[1.0, 0, 0]","[0.58, 0.42, 0]","[0.57, 0.43, 0]","[1.0, 0, 0]","[0.63, 0.37, 0]","[0.54, 0.46, 0]","[1.0, 0, 0]"
Fluffy,Masha,Explane,"[0.51, 0.49, 0]","[0.09, 0.91, 0]","[0, 0, 1.0]","[0, 0.28, 0.72]","[0.28, 0.72, 0]","[0.19, 0.81, 0]","[0.2, 0.8, 0]"
Fluffy,Yu Zhong,Explane,"[0.47, 0.53, 0]","[0, 0.76, 0.24]","[0, 0, 1.0]","[0, 0.93, 0.07]","[0.07, 0.93, 0]","[0, 0.92, 0.08]","[0.74, 0.26, 0]"
Fluffy,Terizla,Explane,"[0.64, 0.36, 0]","[0, 0.55, 0.45]","[0, 0, 1.0]","[0.32, 0.68, 0]","[0, 0.66, 0.34]","[0, 0, 1.0]","[0.8, 0.2, 0]"
Fluffy,Terizla,Explane,"[0, 0.96, 0.04]","[0.77, 0.23, 0]","[0.15, 0.85, 0]","[0.13, 0.87, 0]","[0.32, 0.68, 0]","[0, 0.73, 0.27]","[1.0, 0, 0]"
Fluffy,Terizla,Explane,"[0.78, 0.22, 0]","[0.14, 0.86, 0]","[0, 0, 1.0]","[0.13, 0.87, 0]","[0.56, 0.44, 0]","[0, 0.73, 0.27]","[0.88, 0.12, 0]"
Lutpiii,Masha,Explane,"[0, 0.93, 0.07]","[0, 0.44, 0.56]","[0, 0, 1.0]","[0.1, 0.9, 0]","[0, 0.51, 0.49]","[0.5, 0.5, 0]","[0, 0.43, 0.57]"
Fluffy,Terizla,Explane,"[0.64, 0.36, 0]","[0.04, 0.96, 0]","[0, 0, 1.0]","[0, 0.76, 0.24]","[0.09, 0.91, 0]","[0, 0.32, 0.68]","[1.0, 0, 0]"
Lutpiii,Terizla,Explane,"[0.84, 0.16, 0]","[0.77, 0.23, 0]","[0.57, 0.43, 0]","[0, 0.56, 0.44]","[0.32, 0.68, 0]","[0, 0.73, 0.27]","[1.0, 0, 0]"
Fluffy,Xborg,Explane,"[0, 0.69, 0.31]","[0, 0.51, 0.49]","[0, 0, 1.0]","[0, 0.5, 0.5]","[0, 0, 1.0]","[0, 0.68, 0.32]","[0, 0.48, 0.52]"
Lutpiii,Cici,Explane,"[0, 0.69, 0.31]","[0, 0.83, 0.17]","[0, 0, 1.0]","[0.05, 0.95, 0]","[0, 0.76, 0.24]","[0.15, 0.85, 0]","[0, 0.38, 0.62]"
Fluffy,Xborg,Explane,"[0.78, 0.22, 0]","[0.36, 0.64, 0]","[0.15, 0.85, 0]","[0.13, 0.87, 0]","[0.24, 0.76, 0]","[0.24, 0.76, 0]","[0.3, 0.7, 0]"
Skylar,Roger,Goldlane,"[0.92, 0.08, 0]","[0.98, 0.02, 0]","[0.79, 0.21, 0]","[0.5, 0.5, 0]","[1.0, 0, 0]","[0.46, 0.54, 0]","[0.98, 0.02, 0]"
Skylar,Karrie,Goldlane,"[0.83, 0.17, 0]","[0.41, 0.59, 0]","[0, 0, 1.0]","[0.21, 0.79, 0]","[0.95, 0.05, 0]","[0.1, 0.9, 0]","[0.24, 0.76, 0]"
Caderaa,Natan,Goldlane,"[0.85, 0.15, 0]","[0.01, 0.99, 0]","[0, 0, 1.0]","[0.59, 0.41, 0]","[0, 1.0, 0.0]","[0, 0.8, 0.2]","[0, 0.96, 0.04]"
Skylar,Roger,Goldlane,"[0, 0.1, 0.9]","[0, 0.95, 0.05]","[0, 0, 1.0]","[0, 0.49, 0.51]","[0.12, 0.88, 0]","[0.11, 0.89, 0]","[0, 0.81, 0.19]"
Caderaa,Karrie,Goldlane,"[0.55, 0.45, 0]","[0, 0.99, 0.01]","[0, 0, 1.0]","[0.15, 0.85, 0]","[0, 0.85, 0.15]","[0, 0.76, 0.24]","[0.42, 0.58, 0]"
Skylar,Roger,Goldlane,"[0, 0.95, 0.05]","[0, 0.79, 0.21]","[0, 0, 1.0]","[0.18, 0.82, 0]","[0, 0.98, 0.02]","[0, 0.85, 0.15]","[0, 0.99, 0.01]"
Caderaa,Karrie,Goldlane,"[0.25, 0.75, 0]","[0, 0.81, 0.19]","[0, 0, 1.0]","[0, 0.88, 0.12]","[0, 0.83, 0.17]","[0.04, 0.96, 0]","[0, 0.97, 0.03]"
Skylar,Roger,Goldlane,"[0, 0.86, 0.14]","[0, 0.75, 0.25]","[0, 0, 1.0]","[0, 0.61, 0.39]","[0.41, 0.59, 0]","[0, 0.95, 0.05]","[0, 0.33, 0.67]"
Kabuki,Karrie,Goldlane,"[0, 0.38, 0.62]","[0, 0.49, 0.51]","[0, 0, 1.0]","[0.5, 0.5, 0]","[0, 0, 1.0]","[0, 0.87, 0.13]","[0, 0.74, 0.26]"
Branz,Roger,Goldlane,"[0.42, 0.58, 0]","[0, 0, 1.0]","[0, 0, 1.0]","[0, 0.61, 0.39]","[0, 0.03, 0.97]","[0, 0.29, 0.71]","[0.13, 0.87, 0]"
Kabuki,Claude,Goldlane,"[0.25, 0.75, 0]","[0.27, 0.73, 0]","[0, 0, 1.0]","[0.65, 0.35, 0]","[0.09, 0.91, 0]","[0.46, 0.54, 0]","[0.66, 0.34, 0]"
Branz,Roger,Goldlane,"[0, 0.95, 0.05]","[0.01, 0.99, 0]","[0, 0, 1.0]","[0, 0.91, 0.09]","[0.19, 0.81, 0]","[0.34, 0.66, 0]","[0, 0.82, 0.18]"
Kabuki,Roger,Goldlane,"[0.87, 0.13, 0]","[0.74, 0.26, 0]","[0.57, 0.43, 0]","[0, 0, 1.0]","[0.89, 0.11, 0]","[0.33, 0.67, 0]","[1.0, 0, 0]"
Branz,Claude,Goldlane,"[0.58, 0.42, 0]","[0.4, 0.6, 0]","[0.14, 0.86, 0]","[1.0, 0, 0]","[0.8, 0.2, 0]","[1.0, 0, 0]","[0, 0.33, 0.67]"
Cw,Moskov,Goldlane,"[0, 0.19, 0.81]","[0, 0.83, 0.17]","[0, 0, 1.0]","[0, 0.76, 0.24]","[0, 0.66, 0.34]","[0.49, 0.51, 0]","[0, 0.22, 0.78]"
Caderaa,Natan,Goldlane,"[0.58, 0.42, 0]","[0.1, 0.9, 0]","[0, 0, 1.0]","[0.12, 0.88, 0]","[0.07, 0.93, 0]","[0.25, 0.75, 0]","[0.76, 0.24, 0]"
Cw,Roger,Goldlane,"[0, 0.91, 0.09]","[0, 0.8, 0.2]","[0, 0, 1.0]","[0, 0.64, 0.36]","[0, 0.75, 0.25]","[0, 0.47, 0.53]","[0.38, 0.62, 0]"
Caderaa,Moskov,Goldlane,"[0, 0.38, 0.62]","[0, 0.76, 0.24]","[0, 0, 1.0]","[0, 0.85, 0.15]","[0, 0.38, 0.62]","[0, 0.94, 0.06]","[0, 0.93, 0.07]"
Cw,Natan,Goldlane,"[0.92, 0.08, 0]","[0.39, 0.61, 0]","[0, 0, 1.0]","[0, 0.76, 0.24]","[0, 0.81, 0.19]","[0, 0.96, 0.04]","[0.52, 0.48, 0]"
Caderaa,Claude,Goldlane,"[0, 0.57, 0.43]","[0.06, 0.94, 0]","[0, 0, 1.0]","[0, 0.24, 0.76]","[0, 0.63, 0.37]","[0, 0.8, 0.2]","[0, 0.04, 0.96]"
Cw,Karrie,Goldlane,"[0, 0.48, 0.52]","[0, 0.85, 0.15]","[0, 0, 1.0]","[0.3, 0.7, 0]","[0, 0.86, 0.14]","[0.23, 0.77, 0]","[0, 0.85, 0.15]"
Caderaa,Claude,Goldlane,"[0.78, 0.22, 0]","[0.13, 0.87, 0]","[0, 0, 1.0]","[0.09, 0.91, 0]","[0.17, 0.83, 0]","[0, 0.79, 0.21]","[0.9, 0.1, 0]"
Cw,Claude,Goldlane,"[0.42, 0.58, 0]","[0.11, 0.89, 0]","[0, 0, 1.0]","[0.5, 0.5, 0]","[0.71, 0.29, 0]","[0.17, 0.83, 0]","[0, 0.42, 0.58]"
Caderaa,Natan,Goldlane,"[0.83, 0.17, 0]","[0.22, 0.78, 0]","[0, 0, 1.0]","[0, 0.76, 0.24]","[0, 0.76, 0.24]","[0.11, 0.89, 0]","[0.23, 0.77, 0]"
Emann,Natan,Goldlane,"[0.75, 0.25, 0]","[0.32, 0.68, 0]","[0, 0, 1.0]","[0, 0.61, 0.39]","[0.1, 0.9, 0]","[0.35, 0.65, 0]","[0.7, 0.3, 0]"
Emann,Natan,Goldlane,"[0.42, 0.58, 0]","[0.53, 0.47, 0]","[0, 0, 1.0]","[0.5, 0.5, 0]","[0.3, 0.7, 0]","[0.54, 0.46, 0]","[0.99, 0.01, 0]"
Branz,Claude,Goldlane,"[0, 0.57, 0.43]","[0.04, 0.96, 0]","[0, 0, 1.0]","[0.06, 0.94, 0]","[0.45, 0.55, 0]","[0.79, 0.21, 0]","[0, 0.27, 0.73]"
Emann,Roger,Goldlane,"[0, 0.38, 0.62]","[0.07, 0.93, 0]","[0, 0, 1.0]","[0.06, 0.94, 0]","[0.22, 0.78, 0]","[0, 0.64, 0.36]","[0, 0.84, 0.16]"
Branz,Claude,Goldlane,"[0.75, 0.25, 0]","[0.37, 0.63, 0]","[0, 0, 1.0]","[0, 0, 1.0]","[0.11, 0.89, 0]","[0, 0.62, 0.38]","[0.73, 0.27, 0]"
Emann,Roger,Goldlane,"[0.83, 0.17, 0]","[0.58, 0.42, 0]","[0.36, 0.64, 0]","[0.5, 0.5, 0]","[0.51, 0.49, 0]","[0.4, 0.6, 0]","[0.35, 0.65, 0]"
Branz,Moskov,Goldlane,"[0, 0.95, 0.05]","[0.53, 0.47, 0]","[0.14, 0.86, 0]","[0, 0.91, 0.09]","[0.89, 0.11, 0]","[0.78, 0.22, 0]","[0, 0.71, 0.29]"
Emann,Karrie,Goldlane,"[0.95, 0.05, 0]","[0.35, 0.65, 0]","[0, 0, 1.0]","[0.68, 0.32, 0]","[0.21, 0.79, 0]","[0, 0.84, 0.16]","[0.13, 0.87, 0]"
Caderaa,Moskov,Goldlane,"[0, 0, 1.0]","[0.34, 0.66, 0]","[0, 0, 1.0]","[0, 0.58, 0.42]","[0.14, 0.86, 0]","[0.23, 0.77, 0]","[0, 0.72, 0.28]"
Emann,Natan,Goldlane,"[0.58, 0.42, 0]","[0.32, 0.68, 0]","[0, 0, 1.0]","[0.5, 0.5, 0]","[0.27, 0.73, 0]","[0.25, 0.75, 0]","[0, 0.98, 0.02]"
Caderaa,Moskov,Goldlane,"[0, 0.29, 0.71]","[0.06, 0.94, 0]","[0, 0, 1.0]","[0, 0.67, 0.33]","[0, 0.85, 0.15]","[0.1, 0.9, 0]","[0, 0.34, 0.66]"
Emann,Moskov,Goldlane,"[0.5, 0.5, 0]","[0, 0.27, 0.73]","[0, 0, 1.0]","[0, 0, 1.0]","[0, 0.48, 0.52]","[0, 0.65, 0.35]","[1.0, 0, 0]"
Caderaa,Claude,Goldlane,"[0, 0.38, 0.62]","[0, 0.55, 0.45]","[0, 0, 1.0]","[0, 0.4, 0.6]","[0, 0.54, 0.46]","[0, 0.61, 0.39]","[0, 0.72, 0.28]"
Cw,Roger,Goldlane,"[0, 0.48, 0.52]","[0.23, 0.77, 0]","[0, 0, 1.0]","[0.01, 0.99, 0]","[0.54, 0.46, 0]","[0.75, 0.25, 0]","[0, 0.27, 0.73]"
Branz,Claude,Goldlane,"[0.75, 0.25, 0]","[0.42, 0.58, 0]","[0, 0, 1.0]","[0.8, 0.2, 0]","[0.45, 0.55, 0]","[0.6, 0.4, 0]","[0.75, 0.25, 0]"
Cw,Roger,Goldlane,"[0, 0.57, 0.43]","[0.22, 0.78, 0]","[0, 0, 1.0]","[0, 0.64, 0.36]","[0, 1.0, 0.0]","[0.22, 0.78, 0]","[0, 0.85, 0.15]"
Branz,Claude,Goldlane,"[0.83, 0.17, 0]","[0.54, 0.46, 0]","[0.14, 0.86, 0]","[0.21, 0.79, 0]","[0.78, 0.22, 0]","[0.33, 0.67, 0]","[0.67, 0.33, 0]"
Cw,Claude,Goldlane,"[0, 0.95, 0.05]","[0.54, 0.46, 0]","[0.36, 0.64, 0]","[0.5, 0.5, 0]","[0.72, 0.28, 0]","[0.83, 0.17, 0]","[0, 0.58, 0.42]"
Branz,Roger,Goldlane,"[0.97, 0.03, 0]","[1.0, 0, 0]","[1.0, 0, 0]","[0.8, 0.2, 0]","[0.88, 0.12, 0]","[0.31, 0.69, 0]","[1.0, 0, 0]"
Branz,Roger,Goldlane,"[0.83, 0.17, 0]","[0.03, 0.97, 0]","[0, 0, 1.0]","[0.71, 0.29, 0]","[0.24, 0.76, 0]","[0, 0.97, 0.03]","[1.0, 0, 0]"
Caderaa,Claude,Goldlane,"[0, 0.57, 0.43]","[0, 0.86, 0.14]","[0, 0, 1.0]","[0.44, 0.56, 0]","[0.25, 0.75, 0]","[0.01, 0.99, 0]","[0, 0, 1.0]"
Branz,Roger,Goldlane,"[0, 0.95, 0.05]","[0.18, 0.82, 0]","[0, 0, 1.0]","[0.59, 0.41, 0]","[0.57, 0.43, 0]","[0.45, 0.55, 0]","[0, 0.41, 0.59]"
Caderaa,Claude,Goldlane,"[1.0, 0, 0]","[0.42, 0.58, 0]","[0.14, 0.86, 0]","[0.5, 0.5, 0]","[0.44, 0.56, 0]","[0.33, 0.67, 0]","[0.99, 0.01, 0]"
Branz,Roger,Goldlane,"[0.25, 0.75, 0]","[0.05, 0.95, 0]","[0, 0, 1.0]","[0.5, 0.5, 0]","[0.47, 0.53, 0]","[0.01, 0.99, 0]","[0.93, 0.07, 0]"
Caderaa,Claude,Goldlane,"[0, 0.57, 0.43]","[0, 0.96, 0.04]","[0, 0, 1.0]","[0, 0.94, 0.06]","[0, 0.77, 0.23]","[0.57, 0.43, 0]","[0, 0.56, 0.44]"
Branz,Moskov,Goldlane,"[0, 0.91, 0.09]","[0, 0.73, 0.27]","[0, 0, 1.0]","[0, 0.52, 0.48]","[0, 0.85, 0.15]","[0, 0.71, 0.29]","[0.06, 0.94, 0]"
Caderaa,Claude,Goldlane,"[0, 0.57, 0.43]","[0, 0.98, 0.02]","[0, 0, 1.0]","[0, 0.64, 0.36]","[0, 0.36, 0.64]","[0, 0.63, 0.37]","[0.11, 0.89, 0]"
Branz,Claude,Goldlane,"[0, 0.95, 0.05]","[0, 0.27, 0.73]","[0, 0, 1.0]","[0, 0.67, 0.33]","[0, 0.42, 0.58]","[0, 0.86, 0.14]","[0, 0.97, 0.03]"
Caderaa,Roger,Goldlane,"[0, 0.19, 0.81]","[0, 0.15, 0.85]","[0, 0, 1.0]","[0, 0.37, 0.63]","[0, 0.18, 0.82]","[0, 0, 1.0]","[0.19, 0.81, 0]"
Cw,Claude,Goldlane,"[0.42, 0.58, 0]","[0.06, 0.94, 0]","[0, 0, 1.0]","[0, 0.67, 0.33]","[0.71, 0.29, 0]","[0.17, 0.83, 0]","[0, 0.42, 0.58]"
Branz,Roger,Goldlane,"[0.25, 0.75, 0]","[0, 0.87, 0.13]","[0, 0, 1.0]","[0.01, 0.99, 0]","[0, 0.89, 0.11]","[0.2, 0.8, 0]","[0, 0.88, 0.12]"
Cw,Roger,Goldlane,"[0, 0.29, 0.71]","[0, 0.81, 0.19]","[0, 0, 1.0]","[0, 0.67, 0.33]","[0.08, 0.92, 0]","[0.28, 0.72, 0]","[0, 0.45, 0.55]"
Branz,Karrie,Goldlane,"[0.58, 0.42, 0]","[0, 1.0, 0.0]","[0, 0, 1.0]","[0.01, 0.99, 0]","[0, 0.86, 0.14]","[0.01, 0.99, 0]","[0.42, 0.58, 0]"
Cw,Roger,Goldlane,"[0, 0.38, 0.62]","[0, 0.65, 0.35]","[0, 0, 1.0]","[0, 0.98, 0.02]","[0, 0.52, 0.48]","[0, 0.84, 0.16]","[0.36, 0.64, 0]"
Branz,Karrie,Goldlane,"[0.7, 0.3, 0]","[0, 0.89, 0.11]","[0, 0, 1.0]","[0.09, 0.91, 0]","[0, 0.88, 0.12]","[0, 0.72, 0.28]","[1.0, 0, 0]"
Branz,Roger,Goldlane,"[0, 0.38, 0.62]","[0, 0.87, 0.13]","[0, 0, 1.0]","[0, 0.73, 0.27]","[0, 0.89, 0.11]","[0.2, 0.8, 0]","[0, 0.88, 0.12]"
Cw,Roger,Goldlane,"[0.92, 0.08, 0]","[0, 0.88, 0.12]","[0, 0, 1.0]","[0, 0, 1.0]","[0.17, 0.83, 0]","[0.63, 0.37, 0]","[0.11, 0.89, 0]"
Cw,Claude,Goldlane,"[0.09, 0.91, 0]","[0.12, 0.88, 0]","[0, 0, 1.0]","[0, 0.67, 0.33]","[0.15, 0.85, 0]","[0.02, 0.98, 0]","[0, 0.5, 0.5]"
Branz,Karrie,Goldlane,"[1.0, 0, 0]","[0.53, 0.47, 0]","[0.14, 0.86, 0]","[0.01, 0.99, 0]","[0.54, 0.46, 0]","[0.35, 0.65, 0]","[0.75, 0.25, 0]"
