Player_Name,Hero_Pick,Player_Role,mu_KDA,mu_Gold,mu_Level,mu_Partisipation,mu_Damage_Dealt,mu_Damage_Taken,mu_Damage_Turret
Reyy,Ling,Jungler,"[0.39, 0.61, 0]","[0, 0.09, 0.91]","[0, 0, 1.0]","[0, 0.5, 0.5]","[0, 0.4, 0.6]","[0.71, 0.29, 0]","[0, 0.64, 0.36]"
Reyy,Fredrinn,Jungler,"[0, 0.85, 0.15]","[0, 0.15, 0.85]","[0, 0, 1.0]","[0, 0.64, 0.36]","[0, 0.61, 0.39]","[0, 0, 1.0]","[0, 0.93, 0.07]"
Kairi,Fredrinn,Jungler,"[0.74, 0.26, 0]","[0.03, 0.97, 0]","[0, 0, 1.0]","[0.34, 0.66, 0]","[0.0, 1.0, 0]","[0, 0.76, 0.24]","[0, 0.52, 0.48]"
Kairi,Fredrinn,Jungler,"[0.39, 0.61, 0]","[0, 0.62, 0.38]","[0, 0, 1.0]","[0.28, 0.72, 0]","[0, 0.52, 0.48]","[0, 0.8, 0.2]","[0.33, 0.67, 0]"
Anavel,Ling,Jungler,"[0.08, 0.92, 0]","[0, 0, 1.0]","[0, 0, 1.0]","[0, 0.64, 0.36]","[0, 0.17, 0.83]","[0.57, 0.43, 0]","[0, 0.7, 0.3]"
Kairi,Ling,Jungler,"[0.76, 0.24, 0]","[0, 0.81, 0.19]","[0, 0, 1.0]","[0, 0, 1.0]","[0.1, 0.9, 0]","[0.77, 0.23, 0]","[1.0, 0, 0]"
Anavel,Fredrinn,Jungler,"[0, 0.99, 0.01]","[0.04, 0.96, 0]","[0, 0, 1.0]","[0.4, 0.6, 0]","[0.0, 1.0, 0]","[0, 0.76, 0.24]","[0, 0.52, 0.48]"
Anavel,Fredrinn,Jungler,"[0, 0.64, 0.36]","[0, 0.83, 0.17]","[0, 0, 1.0]","[0, 0.32, 0.68]","[0, 0.8, 0.2]","[0, 0.8, 0.2]","[0, 0.94, 0.06]"
Kairi,Baxia,Jungler,"[0, 0.99, 0.01]","[0.15, 0.85, 0]","[0, 0, 1.0]","[0.34, 0.66, 0]","[0.42, 0.58, 0]","[0.3, 0.7, 0]","[0.78, 0.22, 0]"
Anavel,Fredrinn,Jungler,"[1.0, 0, 0]","[0.65, 0.35, 0]","[0.34, 0.66, 0]","[0.15, 0.85, 0]","[1.0, 0, 0]","[0.28, 0.72, 0]","[1.0, 0, 0]"
Aboy,Faramis,Midlane,"[0, 0.09, 0.91]","[0.48, 0.52, 0]","[0.54, 0.46, 0]","[0, 0.29, 0.71]","[0.41, 0.59, 0]","[0.2, 0.8, 0]","[0, 0.49, 0.51]"
Clayyy,Valentina,Midlane,"[0.81, 0.19, 0]","[1.0, 0, 0]","[1.0, 0, 0]","[0, 0, 1.0]","[0.93, 0.07, 0]","[0, 0.96, 0.04]","[1.0, 0, 0]"
Clayyy,Luo Yi,Midlane,"[0.76, 0.24, 0]","[0.44, 0.56, 0]","[0.31, 0.69, 0]","[0, 0, 1.0]","[0.22, 0.78, 0]","[0, 0.95, 0.05]","[1.0, 0, 0]"
Aboy,Luo Yi,Midlane,"[0.57, 0.43, 0]","[0.21, 0.79, 0]","[0, 0, 1.0]","[0.25, 0.75, 0]","[0.24, 0.76, 0]","[0, 0.58, 0.42]","[0.43, 0.57, 0]"
Aboy,Faramis,Midlane,"[0.58, 0.42, 0]","[0, 0.93, 0.07]","[0, 0, 1.0]","[0, 0.24, 0.76]","[0, 0.81, 0.19]","[0, 0.28, 0.72]","[0, 0.69, 0.31]"
