Role,KDA,Gold,Level,Partisipation,Damage_Dealt,Damage_Taken,Damage_Turret,Performance
Midlane,low,medium,NaN,medium,high,NaN,NaN,decent
Midlane,low,medium,NaN,high,low,NaN,NaN,bad
Midlane,low,medium,NaN,high,medium,NaN,NaN,decent
Midlane,low,medium,NaN,high,high,NaN,NaN,good
Midlane,low,high,NaN,low,low,NaN,NaN,bad
Midlane,low,high,NaN,low,medium,NaN,NaN,bad
Midlane,low,high,NaN,low,high,NaN,NaN,good
Midlane,low,high,NaN,medium,low,NaN,NaN,bad
Midlane,low,high,NaN,medium,medium,NaN,NaN,decent
Midlane,low,high,NaN,medium,high,NaN,NaN,good
Midlane,low,high,NaN,high,low,NaN,NaN,good
Midlane,low,high,NaN,high,medium,NaN,NaN,good
Midlane,low,high,NaN,high,high,NaN,NaN,good
Midlane,medium,low,NaN,low,low,NaN,NaN,bad
Midlane,medium,low,NaN,low,medium,NaN,NaN,decent
Midlane,medium,low,NaN,low,high,NaN,NaN,bad
Midlane,medium,low,NaN,medium,low,NaN,NaN,decent
Midlane,medium,low,NaN,medium,medium,NaN,NaN,decent
Midlane,medium,low,NaN,medium,high,NaN,NaN,decent
Midlane,medium,low,NaN,high,low,NaN,NaN,bad
Midlane,medium,low,NaN,high,medium,NaN,NaN,decent
Midlane,medium,low,NaN,high,high,NaN,NaN,good
Midlane,medium,medium,NaN,low,low,NaN,NaN,decent
Midlane,medium,medium,NaN,low,medium,NaN,NaN,decent
Midlane,medium,medium,NaN,low,high,NaN,NaN,decent
Midlane,medium,medium,NaN,medium,low,NaN,NaN,decent
Midlane,medium,medium,NaN,medium,medium,NaN,NaN,decent
Midlane,medium,medium,NaN,medium,high,NaN,NaN,decent
Midlane,medium,medium,NaN,high,low,NaN,NaN,decent
Midlane,medium,medium,NaN,high,medium,NaN,NaN,decent
Midlane,medium,medium,NaN,high,high,NaN,NaN,good
Midlane,medium,high,NaN,low,low,NaN,NaN,bad
Midlane,medium,high,NaN,low,medium,NaN,NaN,decent
Midlane,medium,high,NaN,low,high,NaN,NaN,good
Midlane,medium,high,NaN,medium,low,NaN,NaN,decent
Midlane,medium,high,NaN,medium,medium,NaN,NaN,decent
Midlane,medium,high,NaN,medium,high,NaN,NaN,good
Midlane,medium,high,NaN,high,low,NaN,NaN,good
Midlane,medium,high,NaN,high,medium,NaN,NaN,good
Midlane,medium,high,NaN,high,high,NaN,NaN,good
Midlane,high,low,NaN,low,low,NaN,NaN,bad
Midlane,high,low,NaN,low,medium,NaN,NaN,bad
Midlane,high,low,NaN,low,high,NaN,NaN,good
Midlane,high,low,NaN,medium,low,NaN,NaN,bad
Midlane,high,low,NaN,medium,medium,NaN,NaN,decent
Midlane,high,low,NaN,medium,high,NaN,NaN,good
Midlane,high,low,NaN,high,low,NaN,NaN,good
Midlane,high,low,NaN,high,medium,NaN,NaN,good
Midlane,high,low,NaN,high,high,NaN,NaN,good
Midlane,high,medium,NaN,low,low,NaN,NaN,bad
Midlane,high,medium,NaN,low,medium,NaN,NaN,decent
Midlane,high,medium,NaN,low,high,NaN,NaN,good
Midlane,high,medium,NaN,medium,low,NaN,NaN,decent
Midlane,high,medium,NaN,medium,medium,NaN,NaN,decent
Midlane,high,medium,NaN,medium,high,NaN,NaN,good
Midlane,high,medium,NaN,high,low,NaN,NaN,good
Midlane,high,medium,NaN,high,medium,NaN,NaN,good
Midlane,high,medium,NaN,high,high,NaN,NaN,good
Midlane,high,high,NaN,low,low,NaN,NaN,good
